Industry,Region,CompanySize,CompanyAge,ContractTermMonths,CommittedAmount,CreditUsageRate,EAD,PctChangeRevenue,PctChangeNetProfit,DebtToEquity,CurrentRatio,DownPaymentPct,UsageHoursPerWeek,EquipmentType
Mining,South,Medium,2.5,12,65846.12,0.61,33026.44,12.71,-5.71,1.04,1.78,0.14,41.7,Drill
Energy,East,Small,10.7,12,43309.07,0.92,22315.33,-5.04,-3.98,1.3,2.16,0.41,21.5,Drill
Transportation,West,Medium,7,60,106588.05,0.95,84918.49,15.03,-19.99,1.27,1.89,0.14,42.1,Excavator
Energy,South,Small,13.1,36,100636.99,0.61,44185.04,12.18,-1.03,1.19,1.38,0.25,34.8,Bulldozer
Energy,South,Large,5.6,12,82864.9,0.53,21507.67,-10.23,36.07,1.4,1.46,0.5,48.4,Drill
Construction,East,Small,6.1,12,61519.1,0.55,27894.35,4.72,33.24,0.45,1.22,0.13,43.4,Crane
Transportation,North,Small,1,24,108692.32,0.63,58451.2,10.55,-18.86,1.24,1.86,0.11,59.6,Bulldozer
Transportation,West,Small,10.8,24,70294.75,0.88,45590.36,-9.16,31.9,2.06,1.79,0.23,40,Excavator
Transportation,West,Small,9.2,24,95831.67,0.75,35991.74,25.41,19.03,1.1,1.33,0.48,29.1,Loader
Energy,North,Medium,4.1,60,152949.16,0.73,96180.72,-12.53,15.83,1.5,2.16,0.11,15.1,Drill
Mining,North,Small,11,12,119535.69,0.79,72786.81,2.16,10.8,1.44,2.04,0.19,30.6,Crane
Transportation,North,Small,15.1,24,58926.02,0.95,34813.91,-18.75,-23.26,1.72,2.41,0.34,43.8,Excavator
Energy,East,Medium,8.9,24,61754.45,0.55,26328.61,1.55,-10.14,1.37,1.11,0.19,46.3,Bulldozer
Construction,East,Small,11.3,48,104554.57,0.85,75147.64,-16.01,20.82,1.71,1.45,0.12,33.9,Drill
Mining,West,Small,11.4,48,58740.38,0.96,47811.37,-4.41,-30.17,1.5,1.4,0.12,35.7,Excavator
Construction,East,Large,4,24,39948.24,0.61,15802.64,-23.8,-26.02,1.59,2.8,0.32,40.7,Excavator
Mining,South,Medium,20.3,60,115971.16,0.92,70638.07,12,7.65,1.47,1.5,0.32,43.8,Crane
Energy,West,Large,7.6,36,109628.07,0.85,55883.76,5.34,-19.74,0.6,2.13,0.38,50.2,Loader
Manufacturing,East,Large,13.3,48,113517.95,0.51,47702.76,16.31,20.6,0.5,2.02,0.15,34.1,Loader
Mining,North,Medium,13.8,48,107891.06,0.62,45020.93,-5.22,-18.86,0.99,1.46,0.3,32.6,Loader
Construction,South,Small,9.3,12,98040.68,0.8,50054.08,17.01,6.11,2.13,1.53,0.34,60.2,Bulldozer
Energy,North,Medium,13,12,80134.34,0.75,47073.71,0.59,8.2,1.1,1.76,0.19,57.8,Excavator
Mining,West,Large,11.2,24,115484.05,0.76,58270.65,1.7,-12.05,1.39,2.13,0.32,34.7,Bulldozer
Manufacturing,North,Medium,2.9,12,145896.5,0.62,53237.99,31.71,-5.99,0.1,1.41,0.38,51.4,Excavator
Manufacturing,East,Medium,8.3,12,84963.13,0.84,34644.84,-7.27,-17,1.32,1.25,0.5,62,Crane
Transportation,East,Small,6.9,36,69377.79,0.63,27938.07,18.41,-0.47,1.25,1.97,0.34,53.2,Crane
Transportation,West,Large,7.7,60,65946.42,0.69,24962.96,7.2,-24.04,0.1,0.93,0.44,32.4,Bulldozer
Construction,North,Medium,3.5,24,73998.09,0.68,27668.18,-8.58,-5.59,1.37,1.63,0.43,41,Bulldozer
Mining,West,Large,15.6,36,106077.96,0.84,44845.24,-19.74,18.71,0.21,2.03,0.48,22.5,Crane
Mining,North,Small,18,24,35811.17,0.55,11259.84,-15.5,-28.42,0.76,1.72,0.39,30.4,Drill
Transportation,South,Small,14.9,60,113175.11,0.6,54087.24,16.96,-12.18,1.8,1.22,0.19,39.8,Loader
Mining,East,Small,16.4,24,119317.39,0.6,53880.18,26.02,12.96,1.29,1,0.22,42.2,Loader
Mining,West,Medium,8.3,12,46057.65,0.55,14195.86,1.37,-51.94,0.93,2.09,0.41,33.1,Crane
Manufacturing,South,Small,6.8,60,70624.59,0.6,28428.31,2.16,46.39,0.88,1.41,0.31,12.5,Loader
Transportation,South,Small,6.1,36,102390.43,0.8,63471.29,11.65,26.13,0.95,1.05,0.2,41.9,Drill
Energy,West,Large,13.2,36,95695.91,0.87,51452.7,1.1,-38.46,1.3,2.07,0.36,47.3,Drill
Transportation,West,Small,11.1,48,115589.12,0.83,49220.03,16.5,-52.6,0.48,1.9,0.46,47.7,Excavator
Energy,South,Large,9.6,36,95765.9,0.74,52757.96,4.37,0.74,1.87,0.97,0.24,37.9,Bulldozer
Manufacturing,North,Small,16.5,48,137943.09,0.53,45508.36,2.03,-28.01,0.51,2.76,0.34,38.6,Loader
Construction,South,Large,12,12,90364.92,0.98,57227.68,-10.49,24.04,0.16,1.23,0.33,42.5,Drill
Mining,West,Medium,5.8,36,70509.01,0.58,33947.34,-14.18,9.85,1.79,1.89,0.15,44.1,Bulldozer
Manufacturing,South,Large,6.6,60,68096.74,0.83,47816.49,-47.39,3.08,0.94,2.49,0.14,39.1,Bulldozer
Mining,North,Large,13.4,48,122064.06,0.96,61956.08,18.51,-14.26,1.24,1.94,0.46,16.8,Excavator
Construction,East,Small,15.2,36,100888.63,0.85,43653.74,-2.2,40,1.59,1.63,0.47,54,Bulldozer
Construction,East,Small,12.8,12,119011.48,0.61,37202.7,-6.01,18.84,0.77,0.78,0.46,35.4,Bulldozer
Manufacturing,South,Small,19.5,60,118393.67,0.66,55226.56,-29.28,15.08,1.28,2.52,0.26,27.8,Crane
Construction,North,Medium,18.2,60,39404.5,0.52,15577.3,-9.6,30,1.59,1.93,0.22,36.1,Excavator
Energy,East,Large,12.2,12,65797.52,0.81,27156.8,-11.58,-25.47,2.19,0.79,0.48,41.1,Excavator
Construction,South,Medium,5.8,36,69381.25,0.81,29459.86,-11.92,32.12,0.89,2.27,0.45,33.9,Loader
