CreditScoreCategory,Industry,Region,ContractType,CollateralValue,LGD,PctChangeRevenue,PctChangeNetProfit,DebtToEquity,InterestCoverage,EquipmentAge,LeaseToValue,MaintenanceScore,OperatingMargin
Medium,Transportation,South,Loan,37624.37,0.7163,-18.64,-5.08,1.97,3.23,4.9,0.56,55.5,0.1094
High,Transportation,North,Loan,68170.64,0.5933,34.24,-66.62,1.79,3.05,7.7,0.7,52.4,0.0725
Medium,Mining,West,Loan,51615.03,0.623,-9.69,-15.79,0.98,5.26,3.9,0.73,94.1,0.1276
Medium,Transportation,South,Loan,15924.43,0.7529,-16.02,13.75,1.16,2.59,3.3,0.54,81.1,0.1299
Low,Energy,South,Lease,68262.67,0.657,-20.91,-6.48,1.24,2.21,6.9,0.51,75.3,0.1019
Low,Transportation,East,Lease,41042.85,0.7188,1.69,15.28,2.07,2.23,4.5,0.66,77.5,0.0401
Low,Energy,South,Lease,51001.1,0.6465,-20.34,14,1.02,1.74,1.1,0.86,64.5,0.1096
High,Transportation,West,Loan,55622.96,0.6145,-14.25,-32.8,0.87,2.32,4.6,0.65,56.6,0.1387
Medium,Energy,East,Lease,27744.75,0.7117,15.98,20.52,1.71,1.45,6,0.72,76.6,0.052
Medium,Transportation,East,Loan,45667.96,0.6778,8.97,23.26,2.38,3.92,3.6,0.44,61,0.1129
Low,Transportation,East,Loan,69763.61,0.5847,-26.91,-0.92,1.08,3.6,3.4,0.97,61.1,0.1377
High,Construction,North,Lease,66340.39,0.5954,14.5,0.45,2.22,0.82,5.4,0.59,64.5,0.1162
High,Energy,East,Loan,45644.61,0.6196,0.66,0.3,1.87,3.14,2.7,0.71,81.8,0.1904
Low,Energy,South,Lease,60737.51,0.6212,22.74,45.38,1.29,4.67,5.6,0.51,59.5,0.0648
Low,Energy,North,Loan,62712.87,0.6035,28.36,11.48,0.84,4.59,7.1,0.74,58.1,0.0481
Low,Manufacturing,North,Loan,61947.52,0.6764,-32.17,3.75,1.33,1.44,7.6,0.64,55.8,0.054
Medium,Transportation,North,Lease,32809.62,0.6625,15.29,14.1,1.1,5,3.7,0.72,67.7,0.0713
Medium,Energy,North,Lease,74617.25,0.5803,32.7,13.47,2.1,2.21,8.6,0.67,85.2,0.065
Medium,Manufacturing,North,Lease,43042.36,0.6602,4.19,-2.97,1.48,3.03,6.2,0.75,67.8,0.1405
Low,Construction,North,Lease,51640.05,0.6876,13.76,-40.06,1.74,2.47,3.7,0.8,70,0.0046
Medium,Energy,North,Lease,44730.79,0.6875,4.5,3.26,1.74,1.2,4.2,0.56,72.8,0.0643
Low,Energy,East,Lease,53446.42,0.6218,19.59,17.72,1.18,1.83,3.6,0.87,65.1,0.1476
Low,Manufacturing,West,Loan,37036.03,0.6964,7.67,8.72,1.54,4.87,0.9,0.63,56.4,0.0906
Medium,Transportation,South,Loan,46623.16,0.6934,-40.45,-14.95,2,4.91,7.8,0.74,63.5,0.0376
Medium,Construction,South,Loan,52741.36,0.6488,-2.42,-5.86,1.46,4.02,5.4,0.61,61.5,0.0753
Medium,Energy,East,Loan,68369.73,0.5726,-3.72,29.79,1.37,2.66,6.3,0.71,68.7,0.1646
Low,Transportation,East,Lease,66558.93,0.6434,14.28,-50.57,1.85,5.7,5.2,0.66,63.2,0.0906
Medium,Construction,North,Loan,67318.3,0.5443,23.54,-22.31,0.85,4.48,2,0.9,73.4,0.1154
Medium,Mining,West,Loan,63029.78,0.5968,-4.55,3.95,0.4,2.82,5.7,0.62,68.3,0.09
Low,Mining,North,Lease,77700.13,0.588,-24.5,31.19,1.64,0.1,6.9,0.86,60.7,0.1802
Medium,Construction,East,Loan,45647.89,0.6487,6.12,54.44,2.01,4.29,6.9,0.6,91.8,0.0842
Low,Manufacturing,North,Lease,47633.48,0.6785,-15.52,26.69,2.4,4.86,7.2,0.86,77.2,0.0716
Low,Construction,South,Lease,47015.86,0.6858,-12.12,-17.78,1.6,3.64,5.1,0.8,66.9,0.1358
High,Construction,South,Lease,49083.04,0.6332,47.64,-52.85,1.91,0.13,0.3,0.66,61.9,0.1295
High,Manufacturing,North,Loan,28456.69,0.6769,-13.55,56.04,2.16,3.3,6.4,0.68,83.7,0.0916
High,Manufacturing,West,Lease,53971.41,0.6146,-31.3,-25.25,1.52,6.26,5.1,0.72,57,0.1097
Medium,Transportation,North,Loan,57440.83,0.6164,12.07,4.38,1.18,2.77,9,0.7,91.1,0.1345
Low,Transportation,North,Loan,46138.9,0.6689,14.14,-3.51,1.13,5.95,8.8,0.74,48.5,0.072
Medium,Manufacturing,West,Loan,23639.89,0.709,17.57,-2.07,1.35,4.05,7.2,0.71,100,0.14
Medium,Mining,West,Lease,50321.46,0.6712,16.8,-34.98,2.22,3.07,2.2,0.6,63.7,0.1044
Low,Mining,West,Lease,30579.4,0.7035,2.91,53.88,1.97,5.1,2.8,0.65,50.5,0.1144
Medium,Construction,South,Lease,56409.67,0.6437,3.12,-26.25,1.39,2.09,6,0.73,60,0.0715
Low,Energy,North,Loan,51789.67,0.6858,18.79,4.76,2.12,1.15,2.7,0.59,65.3,0.0995
High,Construction,East,Loan,53260.58,0.6248,32.17,-13.35,1.73,1.18,6.8,0.65,61.5,0.0565
Low,Construction,West,Lease,34084.45,0.7255,-25.21,18.41,1.39,3.31,6.9,0.75,75.3,0.0731
Medium,Energy,West,Loan,68923.76,0.5967,-12.17,-6.28,1.59,3.67,8.1,0.72,74.3,0.1564
Medium,Manufacturing,North,Lease,52553.14,0.6591,12.56,-9.39,1.7,1.98,7.2,0.67,100,0.047
Medium,Mining,East,Lease,36286.44,0.6514,5.1,32.62,1.57,4.83,4.2,0.8,71.3,0.0706
Medium,Construction,North,Loan,58694.62,0.6541,-35.81,-9.7,2.37,3.13,4.9,0.8,50.1,0.0578
Low,Energy,North,Loan,51466.03,0.6484,-11.47,42.33,1.43,4.24,3.3,0.64,67.4,0.1191
High,Transportation,West,Lease,77553.76,0.5278,6.05,-37,0.81,1.98,5.5,0.77,72.1,0.1704
Medium,Construction,West,Loan,41706.88,0.6785,0.25,-7.48,1.66,2.73,0.6,0.61,62.3,0.088
High,Mining,South,Lease,31287,0.7048,-7.18,-25.79,1.35,0.35,4.4,0.73,79.6,0.0003
High,Manufacturing,East,Lease,54340.2,0.5651,46.88,0.92,0.83,2.58,6.4,0.72,81.5,0.1349
Medium,Construction,East,Loan,65183.39,0.6302,-0.5,-41.2,1.83,3.34,6.2,0.7,60.5,0.0946
High,Construction,West,Lease,84844.54,0.481,4.62,18.59,0.1,2.16,6.7,0.67,64.7,0.1228
Low,Energy,West,Loan,100000,0.5086,2.66,21.57,1.64,2.91,2.9,0.71,41.4,0.1344
Low,Transportation,West,Lease,26719.27,0.6928,4.23,45.19,0.32,3.36,2.4,0.7,56.9,0.0696
Low,Transportation,East,Loan,47971.44,0.7046,0.75,25.42,1.5,2.2,6.2,0.47,66,0.0437
Medium,Manufacturing,South,Loan,31336.81,0.7051,-41.65,25.08,1.78,2.6,3.1,0.84,72.1,0.0411
Medium,Mining,East,Lease,46289.24,0.6485,-19.8,20.42,1.87,1.9,2.7,0.76,68,0.1919
Low,Manufacturing,West,Loan,87158.66,0.5948,-6.3,-6.54,1.9,1.59,5.4,0.65,57.4,0.0738
High,Construction,West,Loan,37704.33,0.5932,16.25,48.57,0.97,4.84,4.9,0.79,86.6,0.0772
Medium,Construction,South,Lease,49670.73,0.6684,-5.99,16.63,1.59,0.85,9.8,0.65,85.1,0.1284
Low,Transportation,North,Loan,41287.08,0.6887,-16.63,74.21,1.15,4.28,5.7,0.43,86.6,0.0968
Medium,Mining,North,Lease,34950.56,0.6665,18.89,52.61,1.12,0.95,5.3,0.73,93.3,-0.0136
Low,Energy,East,Loan,76891.85,0.5832,27.02,10.4,1.44,5.27,3.9,0.54,55.2,0.0466
High,Mining,North,Lease,26911.14,0.7027,-30.65,11.87,1.29,3.86,6.7,0.57,76.4,0.1096
Low,Construction,North,Lease,48762.29,0.674,1.94,24.96,0.98,2.44,4.9,0.59,83.7,0.0521
High,Energy,East,Lease,51319.45,0.5992,-53.4,47.51,1.66,4.42,4,0.71,100,0.1785
Medium,Mining,West,Lease,49504.25,0.6743,-6.23,-46.05,1.77,4.63,4.6,0.72,92.4,0.0366
Low,Mining,North,Loan,45264.37,0.6323,37.69,39.37,1.07,3.87,4.3,0.81,66.2,0.044
Low,Energy,West,Lease,74215.14,0.6092,1.84,11.2,1.41,3.71,4.8,0.58,46.2,0.0476
High,Construction,East,Loan,18321.78,0.7218,-27.62,32.41,1.42,3.34,9.5,0.63,51.9,0.1252
Medium,Mining,West,Lease,56546.78,0.635,-27.13,-21.58,1.42,5.13,6.3,0.83,80.1,0.0389
Medium,Energy,West,Loan,57214.99,0.631,-18.65,-22.93,1.47,2.96,4.6,0.75,70.9,0.1775
Medium,Construction,East,Lease,54304.85,0.6273,-13.43,10.18,1.64,3.18,4.9,0.73,59.5,0.163
Low,Energy,West,Loan,37537.34,0.7125,-37.86,29.29,2.08,4.29,2.2,0.7,40.2,0.1453
Medium,Energy,North,Loan,68075.47,0.6058,6.59,-36.95,1.57,2.52,1.4,0.74,83.3,0.0169
Low,Mining,North,Lease,67324.7,0.6138,10.88,-11.96,1.24,4.65,6.5,0.7,52.7,0.1129
High,Construction,North,Lease,37008.67,0.6828,-7,-35.93,1.49,4.34,6.5,0.71,91.3,-0.0084
Medium,Mining,North,Lease,32031.76,0.6319,40.91,12.54,0.97,7.27,5.8,0.75,55,0.171
Medium,Manufacturing,West,Loan,29133.46,0.6902,-8.59,59.81,1.05,2.82,8,0.61,63.3,0.1155
Low,Manufacturing,North,Loan,53381.08,0.6557,24.06,-10.05,1.72,3.9,5.4,0.72,60,0.1251
Medium,Construction,West,Loan,50701.73,0.6402,-27.75,23.53,0.1,3.7,6.6,0.51,79.5,0.0783
Medium,Energy,South,Loan,44583.38,0.6485,6,3.65,1.39,4.22,4.9,0.7,59.9,0.1056
Medium,Mining,West,Lease,81219.76,0.5447,9,11.07,1.96,2.89,0,0.65,66.8,0.1014
Medium,Mining,North,Lease,43083.73,0.6802,-14.21,-17.89,1.7,3.7,7.3,0.78,64.8,0.1103
High,Construction,South,Lease,52812.5,0.6102,3.34,19.64,1.93,3.22,3.1,0.56,56.8,0.1289
Medium,Construction,East,Lease,47085.42,0.6689,-14.42,-6.04,1.67,4.29,5.5,0.72,70.2,0.0239
Low,Manufacturing,West,Loan,79446.77,0.5878,-6.24,53.75,2.5,0.12,3.6,0.76,74,0.108
Medium,Transportation,North,Loan,20154.99,0.7227,-5.66,-15.33,0.88,2.64,5.5,0.77,80.6,0.1663
Medium,Construction,North,Lease,45351.35,0.6616,-28.11,29.36,1.56,6.18,8.3,0.63,79.2,0.0779
Medium,Transportation,North,Loan,59213.83,0.5786,10.46,59.21,1.86,5.31,6.2,0.66,80.8,0.1704
Medium,Construction,East,Lease,46664.18,0.6341,11.84,35.66,1.29,3.46,6.6,0.74,43.4,0.0216
Medium,Energy,South,Loan,30435.01,0.731,-7.47,-27.07,2.09,3.89,4.6,0.58,69.7,0.1907
Medium,Energy,South,Loan,52648.96,0.6625,4.84,-29.92,1.8,3.78,4.4,0.66,56.6,0.0366
Medium,Manufacturing,North,Loan,25680.15,0.7085,-18.4,13.6,0.75,3.95,4.4,0.61,70.1,0.1053
Low,Manufacturing,West,Loan,60053.52,0.6881,-25.05,1.86,1.68,1.69,6.5,0.52,72.1,0.1146
Low,Transportation,North,Loan,43801.06,0.6872,-8,15.46,1.8,2,5.1,0.85,73.1,0.103
Low,Construction,North,Loan,41277.92,0.7061,13.82,35.86,2.32,2.02,6.4,0.7,45.9,0.0625
Medium,Mining,West,Lease,65692.34,0.6035,-1.51,2.62,1.41,2.33,4.6,0.6,100,0.1552
Medium,Manufacturing,North,Loan,34951.64,0.7311,-8.77,-18.86,1.78,5.36,7,0.47,100,0.0567
Medium,Mining,East,Lease,26863,0.7078,6.71,6.22,1.63,1.25,6.4,0.73,60.7,0.2301
High,Mining,North,Lease,36342.76,0.6446,-18.32,45.58,1.22,5.95,5.2,0.54,53.3,0.0501
Low,Construction,East,Lease,80705.01,0.5935,-24.53,1.07,1.33,3.61,6.4,0.63,100,0.1518
Medium,Transportation,North,Lease,34944.69,0.6618,-7.05,64.55,0.4,1.25,7.1,0.7,86.6,0.0289
Medium,Construction,South,Lease,55482.85,0.6495,-17,26.55,1.26,2.15,8.7,0.58,81.2,0.0639
Low,Manufacturing,West,Lease,62650.3,0.6466,-23.79,23.7,2.29,3.66,3.6,0.87,51.6,-0.0567
Low,Mining,South,Loan,35903.75,0.7334,18.08,-16.36,1.41,1.06,6.8,0.6,94.2,0.1628
Low,Construction,North,Loan,35923.18,0.7224,44.06,-3.76,1.92,2.48,6.4,0.58,57,0.1295
Low,Construction,North,Loan,52702.38,0.6995,-31.09,15.67,1.61,1.29,6.9,0.72,67.2,-0.0058
High,Construction,East,Lease,53379.83,0.617,-8.32,-0.89,1.71,3.95,4.1,0.66,90.7,0.0382
High,Manufacturing,North,Lease,70214.26,0.5544,3.49,37.83,2.5,1.32,5.2,0.89,63.8,0.0008
Medium,Transportation,North,Lease,38461.53,0.6871,-34.41,6.4,1.3,0.74,4.1,0.84,73.5,0.0836
High,Construction,North,Loan,44341.2,0.6172,-4.46,-17.69,1.29,5.2,5.7,0.85,87.6,0.0819
High,Manufacturing,South,Loan,92575.95,0.483,-3,10.59,2.04,2.54,3.3,0.75,51.8,0.1525
Low,Mining,East,Loan,23110.62,0.7594,9.6,-9.63,1.46,2.41,7.7,0.77,87.4,0.0933
High,Energy,South,Lease,20034.68,0.6919,-15.45,21.76,1.36,3.71,5.3,0.66,94.1,0.1863
Medium,Manufacturing,East,Lease,29254.39,0.7391,-11.29,-14.14,1.98,2.96,8.5,0.77,69,0.0362
High,Energy,South,Lease,66524.08,0.5417,19.43,56.97,1.63,1.77,3.7,0.63,88.5,0.083
High,Construction,North,Loan,43425.73,0.6619,8.39,-43.14,1.42,2.08,5.4,0.69,58.4,0.0696
Medium,Construction,South,Lease,43420.3,0.6716,14.56,-8.23,1.33,4.08,5.2,0.56,47,0.071
Low,Manufacturing,South,Lease,35521.66,0.7366,-35.08,7.31,1.08,1.55,6.3,0.66,40.3,0.1391
Low,Energy,East,Lease,63776.27,0.6275,-13.37,-12.63,0.73,2.95,6.5,0.76,77.7,0.1314
Medium,Construction,East,Lease,29486.69,0.7136,30.33,-65.71,2.06,5.5,2.3,0.81,76.8,0.0262
High,Mining,South,Loan,41277.47,0.6133,-1.68,60.08,1.29,2.55,7.4,0.75,61.2,0.094
High,Transportation,East,Loan,36115.36,0.6098,-2.51,24.96,0.65,4.85,6.8,0.84,87.6,0.1085
Low,Transportation,East,Lease,10000,0.8396,-1.65,-34.54,2.39,1.49,2,0.56,60.3,0.1687
Medium,Construction,East,Lease,42826.42,0.6606,31.4,-30.24,1.54,3.28,7.9,0.75,51.4,0.1829
Medium,Energy,West,Loan,49112.31,0.6682,-14.92,-41.04,1.51,4.87,2.5,0.61,55.8,0.1216
Low,Construction,East,Loan,38367.17,0.6893,13.43,-1.25,0.71,2.14,5.6,0.74,91.2,0.1077
Low,Energy,West,Lease,45975.87,0.6575,5.28,47.19,1.79,5.88,4.4,0.62,82.6,0.1232
Medium,Mining,West,Loan,46360.61,0.6785,-27.32,-5.68,1.23,2.92,4.6,0.64,67.5,0.0498
High,Energy,East,Loan,48004.61,0.6265,-5.97,-10.67,1.24,1.26,4.3,0.79,66,0.072
Medium,Construction,South,Lease,34189.27,0.6876,-16.68,32.08,1.71,4.51,6,0.72,61.5,0.0522
Medium,Mining,East,Loan,33327.66,0.6909,-25.46,12.69,1.56,5.38,3.2,0.62,33.5,0.1561
Medium,Manufacturing,North,Loan,50704.2,0.6531,23.93,1.34,1.01,1.13,6.9,0.55,46,0.0816
Medium,Transportation,South,Loan,27858.69,0.7073,-24.4,25.16,0.79,3.66,6.1,0.61,67.9,0.0877
High,Construction,West,Loan,46788.12,0.6487,14.99,-49.85,1.58,1.99,4.7,0.69,78.8,0.1091
High,Construction,West,Lease,74532.36,0.5652,-17.23,17.31,1.54,1.47,6.8,0.58,65.1,0.1237
Low,Construction,South,Loan,49417.65,0.6623,27.15,41.67,2.8,1.68,4,0.72,46.7,0.1924
Medium,Mining,South,Loan,22601.5,0.7352,-8.4,-33.92,0.38,3.32,4.9,0.59,94.4,0.105
Medium,Manufacturing,East,Lease,52697.27,0.6258,6.71,-7.96,1.57,4.94,2,0.68,49.4,0.0941
Low,Energy,West,Loan,62277.36,0.6447,-11.33,-55.27,0.69,2.91,3.9,0.73,70.2,0.1607
Low,Manufacturing,North,Lease,38070.24,0.7319,-43.34,-9.78,1.29,3.63,3.2,0.65,72.4,0.0969
Medium,Mining,East,Lease,45515.7,0.669,-33.35,-16.13,1.29,2.17,1.5,0.81,100,0.0518
Medium,Construction,South,Loan,36834.67,0.6905,-37.96,54.41,1.77,2.81,4.7,0.74,55.8,-0.0095
Low,Transportation,West,Loan,43067.28,0.7187,5.08,-10.61,1.78,1.7,4.8,0.61,70.7,0.1184
Low,Construction,South,Loan,40016.81,0.7409,-0.57,12.11,2.18,0.28,5.6,0.59,72.7,0.0931
High,Energy,South,Loan,56535.03,0.5547,11.89,43.55,1.62,2.23,6.2,0.86,52.9,0.1807
Low,Transportation,South,Loan,74873.94,0.6297,-13.58,-62.32,1.99,4.69,4.5,0.81,74.5,0.0889
Low,Construction,East,Lease,50858.23,0.7313,-43.43,7.05,2.19,0.1,6,0.66,63.5,0.0481
Medium,Transportation,North,Loan,26873.86,0.7096,26.04,-29.98,1.63,4.65,6.8,0.73,65.4,0.1384
High,Manufacturing,North,Lease,87941.5,0.5244,19.8,-29.27,2.09,3.49,7.2,0.67,59.2,0.1046
Low,Mining,West,Loan,58743.48,0.6524,7.48,-22.63,1.61,2.79,6.2,0.77,87.7,0.1425
Medium,Construction,South,Lease,61797.06,0.609,22.22,-11.67,1.5,2.21,6,0.72,68.1,0.1112
Medium,Energy,North,Loan,49044.11,0.6681,-2.03,-27.83,1.18,3.72,3,0.5,58,0.112
Low,Manufacturing,South,Loan,53490.94,0.6535,5.3,-9.34,1.69,5.1,6.6,0.81,37.5,0.1078
Medium,Construction,West,Loan,44872.61,0.6378,-14.07,32.06,1.67,3.39,3,0.84,98.2,0.0712
Medium,Manufacturing,South,Loan,63555.44,0.6184,-21.41,17.59,1.68,2.68,5.6,0.65,71.1,0.1041
Medium,Energy,North,Loan,42838.95,0.6318,-31.53,84.57,2.07,7.05,6.3,0.73,89.3,0.1029
Medium,Construction,South,Lease,57340.62,0.6184,-15.06,8.6,1.95,3.13,5.9,0.81,88.6,0.183
Medium,Energy,North,Loan,64541.06,0.5201,53.24,21,0.76,0.54,0,1,75.6,0.1021
Low,Transportation,West,Loan,68689.02,0.5978,-30.41,40.73,0.77,3.49,6.6,0.75,83.7,0.0859
High,Energy,South,Loan,65479.14,0.5992,-18.75,-32.48,1.56,2.12,8,0.73,89,0.154
Medium,Transportation,North,Lease,34646.02,0.6521,2.26,40.04,1.01,2.47,1.8,0.79,54.4,0.0556
Low,Construction,West,Loan,73591.19,0.5724,47.95,-26.41,1.45,4.92,5.4,0.8,83.4,0.1265
Low,Transportation,South,Lease,59963.88,0.6325,-20.99,15.78,1.04,4.32,4.6,0.75,74.3,0.0424
Medium,Construction,West,Loan,54583.9,0.66,-12.57,30.41,1.55,0.36,5.1,0.57,56.7,0.0103
Medium,Construction,North,Lease,56313.15,0.6497,13.43,-55.48,0.99,0.41,7.6,0.72,82.9,0.1567
Low,Mining,South,Loan,47624.15,0.6851,12.3,-9.47,1.7,3.21,5.5,0.73,55.6,0.0823
Medium,Construction,South,Loan,43000.67,0.6767,-13.89,-0.54,0.97,4.46,3,0.55,78.3,-0.0077
Low,Transportation,South,Lease,44472.42,0.7272,-16.68,-32.08,1.57,0.1,3.7,0.76,74.3,0.0596
Medium,Mining,West,Loan,69321.91,0.5622,8.96,11.51,0.66,4.47,3.5,0.59,60.3,0.0908
Low,Mining,West,Lease,51215.78,0.5846,-6.08,52.39,0.93,6.7,1.3,0.83,98.3,0.2183
Medium,Construction,North,Loan,54225.77,0.6595,5.75,-27.6,1.85,4.78,3.9,0.62,83,-0.0198
Medium,Energy,East,Loan,50902.13,0.6352,-3.39,37.1,2.14,1.81,6.4,0.79,57.9,0.1431
High,Energy,South,Lease,39981.13,0.6496,7.03,16.25,1.96,3.96,5.7,0.63,88.8,0.0734
Low,Mining,South,Loan,17797.69,0.7821,9.1,-39.16,1.88,3.35,5.3,0.83,64.8,0.0977
Medium,Construction,North,Lease,61530.8,0.6265,-38.96,-11,2.24,5.67,4.4,0.84,63.9,0.063
Low,Energy,South,Lease,59941.66,0.6361,-9.26,9.28,1.98,4.7,4.9,0.76,84.4,0.1501
High,Construction,West,Loan,49828.16,0.5877,6.67,49.11,0.73,1.65,6.1,0.64,79.8,0.1126
High,Construction,West,Loan,33646.43,0.654,16.21,25.54,1.98,3.88,6.7,0.74,66.3,0.0553
Low,Mining,South,Loan,77312.28,0.6264,-6.64,-19.09,1.97,1.77,5.6,0.63,93.6,0.145
Medium,Mining,South,Lease,44882.72,0.6457,-36.89,13.36,0.56,4.56,2.8,0.59,58.3,0.1716
High,Manufacturing,West,Lease,53723.77,0.6257,24.98,-82.6,1.16,2.62,4.1,0.65,91.4,0.1573
Medium,Energy,South,Loan,39452.78,0.6619,17.11,28.59,2.29,2.94,5.9,0.69,58.7,0.2205
Medium,Energy,West,Lease,29754.22,0.7114,2.11,-21.48,1.44,3.25,3.7,0.64,75.5,0.1551
Low,Energy,East,Lease,58844.49,0.6611,-9.29,-30.18,0.93,2.17,3.8,0.67,64.7,0.1062
Low,Transportation,East,Lease,27487.87,0.7612,12.01,-7.94,1.93,3.16,6.4,0.64,82,0.0707
High,Construction,South,Lease,53435.58,0.6219,-9.1,-35.87,1.36,3.69,6.6,0.7,39.5,0.1465
High,Mining,South,Loan,53479.15,0.5984,17.52,-4.4,1.31,2.58,3.1,0.68,54.4,0.0669
