CompanySize,Industry,Region,CreditScore,PriorDefault,RegionRiskScore,MacroEconomicIndex,PctChangeRevenue,PctChangeNetProfit,CurrentRatio,DebtToEquity,InterestCoverage,Default
Medium,Machinery,Central,Medium,No,45.77392683,104.6689939,0.145906173,-0.47336963,1.588314284,3.30515763,43.1160017,Non-Default
Small,Machinery,South,Low,Yes,27.50424098,88.9884741,0.054050231,0.282056564,2.60803897,1.445255116,172.1234411,Default
Medium,Chemicals,South,Medium,No,63.41481255,86.44879464,-0.063591566,0.160294539,1.597305031,3.127764527,261.4140087,Default
Medium,Machinery,West,Low,Yes,63.8320302,98.11644477,0.297349557,0.480343915,2.948451248,5.294253183,4.981513095,Default
Small,Metals,East,Medium,No,49.87714072,102.4438085,0.119557607,-0.129441726,2.152607308,1.124387977,288.4894067,Non-Default
Small,Machinery,North,Low,Yes,36.85136426,94.58738304,0.084498827,-0.221909214,1.743753935,0.498537566,30.09007927,Default
Small,Metals,East,Medium,No,53.61260356,75.56243176,-0.366708512,0.246227933,1.906846916,0.824629954,3.454823724,Non-Default
Large,Machinery,South,Medium,No,47.8960067,78.77556672,0.475726444,0.218436257,1.187096842,0.493968827,389.2168273,Non-Default
Medium,Metals,Central,Medium,No,65.85792745,107.0828948,-0.322864989,-0.139209342,2.296303385,0.637982477,23.05045787,Non-Default
Medium,Machinery,North,Medium,No,49.79003535,80.10012088,0.154840771,-0.033513483,2.918748835,4.245715348,649.4586572,Default
Small,Machinery,North,High,No,48.77106334,110.8593474,0.192594605,0.149686408,1.932908264,6.39930251,28.23061337,Non-Default
Large,Textiles,Central,Medium,No,45.26785689,123.1632002,0.378883619,0.117183375,2.983173298,2.403071778,44.12687276,Non-Default
Small,Metals,North,Low,Yes,46.53468081,93.64068619,-0.142332946,0.02094144,1.131017219,2.832787907,5.784789551,Default
Small,Metals,Central,High,No,38.95138672,96.01694074,-0.111754374,0.05308793,2.202904418,2.829824101,34.244223,Non-Default
Small,Metals,North,Medium,Yes,60.30961785,111.8450038,0.21007532,-0.174579013,2.291411849,0.597478403,197.2384671,Default
Small,Automotive,East,High,No,37.24135543,95.87184115,0.1801858,-0.020449076,1.485789623,0.488687868,8.043401194,Non-Default
Medium,Machinery,North,Low,No,48.75815875,87.57936233,0.390359805,-0.316306967,1.573442891,2.559220515,105.6762946,Non-Default
